,count(DISTINCT(`group`)),label,note
0,21,0,0xUniverse
1,2,2,0xUniverse
2,109,4,0xUniverse
3,1,0,1000Guess
4,1,2,1000Guess
5,5,0,Ace Dice
6,6,2,Ace Dice
7,113,4,Ace Dice
8,34,0,Airswap
9,20,1,Airswap
10,120,2,Airswap
11,238,3,Airswap
12,13,4,Airswap
13,79,0,Auctionity
14,215,1,Auctionity
15,1085,2,Auctionity
16,333,3,Auctionity
17,1273,4,Auctionity
18,860,0,Augur
19,38,1,Augur
20,675,2,Augur
21,259,3,Augur
22,1680,4,Augur
23,46,0,Axie-Infinity
24,8,1,Axie-Infinity
25,8,2,Axie-Infinity
26,16,3,Axie-Infinity
27,88,4,Axie-Infinity
28,9,0,bingo4beast long official (b4b)
29,1,1,bingo4beast long official (b4b)
30,35,2,bingo4beast long official (b4b)
31,3,3,bingo4beast long official (b4b)
32,93,4,bingo4beast long official (b4b)
33,21,0,BlackJack
34,4,2,BlackJack
35,42,3,BlackJack
36,17,4,BlackJack
37,249,0,Blockchain-Cuties
38,278,1,Blockchain-Cuties
39,274,2,Blockchain-Cuties
40,12,3,Blockchain-Cuties
41,981,4,Blockchain-Cuties
42,293,0,Bloom
43,21,1,Bloom
44,316,2,Bloom
45,1614,3,Bloom
46,4845,4,Bloom
47,190,0,Chibi-Fighters
48,13,1,Chibi-Fighters
49,137,2,Chibi-Fighters
50,33,3,Chibi-Fighters
51,1027,4,Chibi-Fighters
52,7,0,CityMayor
53,2,1,CityMayor
54,1,2,CityMayor
55,4,3,CityMayor
56,137,4,CityMayor
57,1,0,CoinFlip
58,1,4,CoinFlip
59,886,0,Compound
60,140,1,Compound
61,338,2,Compound
62,157,3,Compound
63,1193,4,Compound
64,37,0,Crypt-Oink
65,5,2,Crypt-Oink
66,55,4,Crypt-Oink
67,444,0,cryptoflowers
68,33,1,cryptoflowers
69,397,2,cryptoflowers
70,1,3,cryptoflowers
71,829,4,cryptoflowers
72,7,0,CryptoKitties
73,39,2,CryptoKitties
74,3565,4,CryptoKitties
75,2,4,CryptoRoulette
76,7,0,DAO
77,6,2,DAO
78,2,3,DAO
79,31,4,DAO
80,6,0,dice for slice
81,1,1,dice for slice
82,5,2,dice for slice
83,16,4,dice for slice
84,229,0,dice2.win
85,18,1,dice2.win
86,43,2,dice2.win
87,22,3,dice2.win
88,2183,4,dice2.win
89,11,0,dicegame
90,7,2,dicegame
91,3,3,dicegame
92,21,4,dicegame
93,7,0,diceroll.app
94,1,3,diceroll.app
95,55,4,diceroll.app
96,99,0,Edgeless
97,125,2,Edgeless
98,34,3,Edgeless
99,313,4,Edgeless
100,1714,0,ETH-Town
101,244,1,ETH-Town
102,134,2,ETH-Town
103,54,3,ETH-Town
104,2228,4,ETH-Town
105,5,0,ethcrystal fomo
106,1,3,ethcrystal fomo
107,118,4,ethcrystal fomo
108,323,0,ethdice
109,113,2,ethdice
110,1,3,ethdice
111,3491,4,ethdice
112,1088,0,Ether-Kingdoms
113,2,1,Ether-Kingdoms
114,4,2,Ether-Kingdoms
115,19,3,Ether-Kingdoms
116,610,4,Ether-Kingdoms
117,480,0,EtherCartel
118,182,1,EtherCartel
119,26,2,EtherCartel
120,36,3,EtherCartel
121,8982,4,EtherCartel
122,667,0,Etheremon
123,80,2,Etheremon
124,4,3,Etheremon
125,1075,4,Etheremon
126,2,0,EtherLotto
127,4,4,EtherLotto
128,13885,0,Etheroll
129,26,1,Etheroll
130,507,2,Etheroll
131,3,3,Etheroll
132,46011,4,Etheroll
133,2,2,EtherPot
134,12,4,EtherPot
135,19,4,Ethraffle_v4b
136,26,0,EthStick
137,3,2,EthStick
138,937,4,EthStick
139,4,0,FCK-2
140,3,1,FCK-2
141,4,3,FCK-2
142,35,4,FCK-2
143,8,4,FirePonzi
144,138,0,fomo lightning
145,66,1,fomo lightning
146,146,2,fomo lightning
147,53,3,fomo lightning
148,444,4,fomo lightning
149,449,0,fomo short
150,748,1,fomo short
151,804,2,fomo short
152,224,3,fomo short
153,12387,4,fomo short
154,10,0,fomo super
155,22,2,fomo super
156,33,3,fomo super
157,580,4,fomo super
158,42,0,fomo2d
159,13,1,fomo2d
160,19,2,fomo2d
161,18,3,fomo2d
162,705,4,fomo2d
163,927,0,fomo3d
164,502,1,fomo3d
165,1156,2,fomo3d
166,110,3,fomo3d
167,5691,4,fomo3d
168,32,0,fomo3d loop
169,11,1,fomo3d loop
170,11,2,fomo3d loop
171,20,3,fomo3d loop
172,463,4,fomo3d loop
173,118,0,fomo3dlong
174,14,1,fomo3dlong
175,140,2,fomo3dlong
176,10,3,fomo3dlong
177,4213,4,fomo3dlong
178,156,0,fomo4d
179,27,1,fomo4d
180,1188,2,fomo4d
181,4,3,fomo4d
182,4364,4,fomo4d
183,59,0,fomo4d chess
184,1,1,fomo4d chess
185,96,2,fomo4d chess
186,51,3,fomo4d chess
187,1597,4,fomo4d chess
188,14,0,fomo777
189,5,1,fomo777
190,1,2,fomo777
191,777,4,fomo777
192,5,0,fomofast
193,5,2,fomofast
194,32,4,fomofast
195,44,0,fomogame
196,16,2,fomogame
197,16,3,fomogame
198,404,4,fomogame
199,43,0,fomojp
200,8,1,fomojp
201,110,2,fomojp
202,8,3,fomojp
203,570,4,fomojp
204,17,0,fomolol
205,2,1,fomolol
206,15,2,fomolol
207,9,3,fomolol
208,245,4,fomolol
209,17,0,fomosports
210,6,1,fomosports
211,11,2,fomosports
212,5,3,fomosports
213,837,4,fomosports
214,12,0,fomowar
215,1,1,fomowar
216,21,2,fomowar
217,9,3,fomowar
218,493,4,fomowar
219,54,0,fomoﬁve
220,6,1,fomoﬁve
221,36,2,fomoﬁve
222,39,3,fomoﬁve
223,453,4,fomoﬁve
224,7,0,full fomo
225,9,2,full fomo
226,1,3,full fomo
227,34,4,full fomo
228,189,0,Gods-Unchained
229,62,1,Gods-Unchained
230,50,2,Gods-Unchained
231,29,3,Gods-Unchained
232,2921,4,Gods-Unchained
233,15,1,GoodFellas
234,3,2,GoodFellas
235,38,4,GoodFellas
236,43,0,GovernMental Ponzi Scheme
237,4,2,GovernMental Ponzi Scheme
238,145,4,GovernMental Ponzi Scheme
239,53,0,grand theft fomo
240,4,1,grand theft fomo
241,31,2,grand theft fomo
242,22,3,grand theft fomo
243,392,4,grand theft fomo
244,1686,0,HyperDragons
245,364,1,HyperDragons
246,330,2,HyperDragons
247,4,3,HyperDragons
248,2153,4,HyperDragons
249,2,2,ICO
250,6,4,ICO
251,66,0,imfomo
252,33,2,imfomo
253,7,3,imfomo
254,1560,4,imfomo
255,975,0,infinity
256,35,1,infinity
257,266,2,infinity
258,107,3,infinity
259,5872,4,infinity
260,1,0,koreanfomo3d
261,61,4,koreanfomo3d
262,3,2,LastIsMe
263,182,4,LastIsMe
264,4369,0,lastwinner
265,108,1,lastwinner
266,3624,2,lastwinner
267,363,3,lastwinner
268,113259,4,lastwinner
269,2,0,lucky dice
270,1,2,lucky dice
271,2,3,lucky dice
272,36,4,lucky dice
273,61,0,LuckyBlock
274,33,1,LuckyBlock
275,11,2,LuckyBlock
276,1,3,LuckyBlock
277,185,4,LuckyBlock
278,2,0,LuckyDoubler
279,9,2,LuckyDoubler
280,11,4,LuckyDoubler
281,272,0,MegaCryptoPolis
282,143,2,MegaCryptoPolis
283,670,4,MegaCryptoPolis
284,154,0,Minds
285,158,1,Minds
286,590,2,Minds
287,9,3,Minds
288,440,4,Minds
289,411,0,MLB-Crypto-Baseball
290,15,3,MLB-Crypto-Baseball
291,118,4,MLB-Crypto-Baseball
292,43,0,multiplayer dice online
293,6,4,multiplayer dice online
294,73,0,My-Crypto-Heroes
295,12,2,My-Crypto-Heroes
296,3,3,My-Crypto-Heroes
297,139,4,My-Crypto-Heroes
298,2,0,notfomo3d
299,25,4,notfomo3d
300,2288,0,Numerai
301,28,1,Numerai
302,1410,2,Numerai
303,219,3,Numerai
304,3725,4,Numerai
305,1,0,OpenAddressLottery
306,1,4,OpenAddressLottery
307,45,0,origin-protocol
308,9,2,origin-protocol
309,211,4,origin-protocol
310,137,2,play0x
311,61,4,play0x
312,4,1,playtowin-io
313,27,3,playtowin-io
314,440,4,playtowin-io
315,8,0,powerofbubble
316,33,4,powerofbubble
317,771,0,powh-3d
318,8,1,powh-3d
319,419,2,powh-3d
320,11,3,powh-3d
321,1940,4,powh-3d
322,460,0,ratscam
323,20,1,ratscam
324,167,2,ratscam
325,32,3,ratscam
326,7698,4,ratscam
327,5,0,Roulette
328,1,2,Roulette
329,1,3,Roulette
330,4,4,Roulette
331,774,0,RussianRoulette
332,140,1,RussianRoulette
333,15,2,RussianRoulette
334,91,3,RussianRoulette
335,2941,4,RussianRoulette
336,12,4,slotthereum
337,7,2,SmartBillions
338,3,3,SmartBillions
339,170,4,SmartBillions
340,136,0,smartdice
341,303,4,smartdice
342,23,0,souha
343,5,1,souha
344,15,2,souha
345,37,3,souha
346,140,4,souha
347,467,0,spacewar
348,296,1,spacewar
349,851,2,spacewar
350,138,3,spacewar
351,5739,4,spacewar
352,3,0,StackyGame
353,4,4,StackyGame
354,2070,0,STOX
355,342,1,STOX
356,2812,2,STOX
357,967,3,STOX
358,4208,4,STOX
359,496,0,supercard
360,73,1,supercard
361,925,2,supercard
362,450,3,supercard
363,9247,4,supercard
364,382,0,switcheo-2
365,50,1,switcheo-2
366,347,2,switcheo-2
367,41,3,switcheo-2
368,544,4,switcheo-2
369,4,0,TheRun
370,29,4,TheRun
371,114,0,unnamed1
372,56,2,unnamed1
373,20,3,unnamed1
374,1775,4,unnamed1
375,71,0,unnamed2
376,70,2,unnamed2
377,63,3,unnamed2
378,842,4,unnamed2
379,6,0,unnamed3
380,23,1,unnamed3
381,2,3,unnamed3
382,2861,4,unnamed3
383,506,2,unnamed4
