,count(DISTINCT(`group`)),note,txLabelNew
0,2,1000Guess,1
1,10,bingo4beast long official (b4b),1
2,1,bingo4beast long official (b4b),4
3,5,BlackJack,0
4,8,Chibi-Fighters,4
5,2,CityMayor,1
6,1,CoinFlip,1
7,15,DAO,1
8,6,dice for slice,4
9,2,dice for slice,1
10,18,dice2.win,1
11,46,dice2.win,4
12,10,dicegame,4
13,2,diceroll.app,1
14,6,diceroll.app,4
15,15,ETH-Town,4
16,2,ethcrystal fomo,4
17,206,ethdice,4
18,738,EtherCartel,1
19,8,Etheroll,4
20,1,FirePonzi,1
21,26,fomo lightning,2
22,87,fomo lightning,1
23,284,fomo lightning,4
24,723,fomo short,1
25,37,fomo short,2
26,2921,fomo short,4
27,2,fomo super,1
28,94,fomo super,4
29,1,fomo2d,1
30,124,fomo2d,4
31,1828,fomo3d,1
32,390,fomo3d,2
33,3311,fomo3d,4
34,80,fomo3d loop,4
35,45,fomo3dlong,1
36,13,fomo3dlong,2
37,72,fomo3dlong,4
38,111,fomo4d,1
39,3,fomo4d,2
40,650,fomo4d,4
41,5,fomo4d chess,1
42,199,fomo4d chess,4
43,2,fomo777,4
44,5,fomo777,1
45,10,fomofast,4
46,4,fomofast,1
47,3,fomofast,2
48,16,fomogame,1
49,6,fomogame,2
50,235,fomogame,4
51,97,fomojp,1
52,85,fomojp,2
53,211,fomojp,4
54,58,fomolol,4
55,9,fomolol,1
56,140,fomosports,4
57,14,fomowar,1
58,1,fomowar,2
59,219,fomowar,4
60,23,fomoﬁve,1
61,6,fomoﬁve,2
62,129,fomoﬁve,4
63,11,full fomo,4
64,1,GovernMental Ponzi Scheme,1
65,17,grand theft fomo,1
66,1,grand theft fomo,2
67,161,grand theft fomo,4
68,1,imfomo,2
69,315,imfomo,4
70,64,infinity,1
71,58,infinity,4
72,1,koreanfomo3d,4
73,2,LastIsMe,0
74,2,LastIsMe,1
75,1,LastIsMe,4
76,41,lastwinner,2
77,1591,lastwinner,1
78,262,lastwinner,4
79,1,lucky dice,4
80,2,LuckyBlock,0
81,1,LuckyBlock,1
82,1,LuckyBlock,3
83,14,LuckyDoubler,1
84,3,multiplayer dice online,4
85,2,notfomo3d,4
86,43,powh-3d,1
87,107,powh-3d,4
88,119,ratscam,1
89,26,ratscam,2
90,784,ratscam,4
91,2,Roulette,1
92,2,slotthereum,1
93,4,SmartBillions,1
94,28,smartdice,4
95,5,souha,2
96,21,souha,1
97,69,souha,4
98,12,spacewar,2
99,351,spacewar,1
100,27,spacewar,4
101,2,StackyGame,1
102,1,StackyGame,3
103,256,supercard,1
104,61,supercard,2
105,504,supercard,4
106,8,unnamed1,1
107,7,unnamed1,2
108,39,unnamed1,4
109,52,unnamed2,4
110,2,unnamed2,1
111,6,unnamed4,1
112,99,vdize,4
113,44,world fomo,1
114,816,world fomo,4
