,gameName,label_0,label_1,label_2,label_3,label_4,label_group_0,label_group_1,label_group_2,label_group_3,label_group_4,label_group_true_0,label_group_true_1,label_group_true_2,label_group_true_3,label_group_true_4,label_true_0,label_true_1,label_true_2,label_true_3,label_true_4,txLabelNew_0,txLabelNew_1,txLabelNew_2,txLabelNew_3,txLabelNew_4,txLabelNew_group_0,txLabelNew_group_1,txLabelNew_group_2,txLabelNew_group_3,txLabelNew_group_4
0,0xUniverse,229.0,,10.0,,2251.0,21.0,,2.0,,109.0,,,,,,,,,,,,,,,,,,,,
1,1000Guess,23.0,,27.0,,,1.0,,1.0,,,1.0,,1.0,,,3.0,,27.0,,,,30.0,,,,,2.0,,,
2,Ace Dice,11.0,,21.0,,621.0,5.0,,6.0,,113.0,,,,,,,,,,,,,,,,,,,,
3,Airswap,84.0,43.0,353.0,787.0,28.0,34.0,20.0,120.0,238.0,13.0,,,,,,,,,,,,,,,,,,,,
4,Auctionity,217.0,1465.0,6507.0,1204.0,7927.0,79.0,215.0,1085.0,333.0,1273.0,,,,,,,,,,,,,,,,,,,,
5,Augur,15010.0,503.0,9064.0,2741.0,47358.0,860.0,38.0,675.0,259.0,1680.0,,,,,,,,,,,,,,,,,,,,
6,Axie-Infinity,124.0,15.0,15.0,35.0,319.0,46.0,8.0,8.0,16.0,88.0,,,,,,,,,,,,,,,,,,,,
7,bingo4beast long official (b4b),62.0,2.0,1380.0,7.0,2495.0,9.0,1.0,35.0,3.0,93.0,,,4.0,,10.0,,,7.0,,14.0,,19.0,,,2.0,,10.0,,,1.0
8,BlackJack,78.0,,10.0,233.0,58.0,21.0,,4.0,42.0,17.0,,,,4.0,1.0,,,,5.0,1.0,6.0,,,,,5.0,,,,
9,Blockchain-Cuties,1576.0,1481.0,1528.0,61.0,5565.0,249.0,278.0,274.0,12.0,981.0,,,,,,,,,,,,,,,,,,,,
10,Bloom,14372.0,92.0,10944.0,106647.0,241616.0,293.0,21.0,316.0,1614.0,4845.0,,,,,,,,,,,,,,,,,,,,
11,Chibi-Fighters,514.0,32.0,426.0,92.0,4188.0,190.0,13.0,137.0,33.0,1027.0,1.0,,,,8.0,1.0,,,,11.0,,,,,12.0,,,,,8.0
12,CityMayor,42.0,10.0,2.0,29.0,862.0,7.0,2.0,1.0,4.0,137.0,,,,,2.0,,,,,8.0,,8.0,,,,,2.0,,,
13,CoinFlip,1.0,,,,2.0,1.0,,,,1.0,,,,,1.0,,,,,2.0,,2.0,,,,,1.0,,,
14,Compound,2592.0,408.0,915.0,395.0,3766.0,886.0,140.0,338.0,157.0,1193.0,,,,,,,,,,,,,,,,,,,,
15,Crypt-Oink,134.0,,16.0,,172.0,37.0,,5.0,,55.0,,,,,,,,,,,,,,,,,,,,
16,cryptoflowers,1454.0,100.0,1367.0,2.0,3047.0,444.0,33.0,397.0,1.0,829.0,,,,,,,,,,,,,,,,,,,,
17,CryptoKitties,11.0,,135.0,,15966.0,7.0,,39.0,,3565.0,,,,,,,,,,,,,,,,,,,,
18,CryptoRoulette,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
19,DAO,72.0,,83.0,71.0,605.0,7.0,,6.0,2.0,31.0,2.0,,3.0,,10.0,18.0,,11.0,,94.0,,123.0,,,,,15.0,,,
20,dice for slice,20.0,1.0,24.0,,67.0,6.0,1.0,5.0,,16.0,4.0,,1.0,,3.0,15.0,,1.0,,6.0,,2.0,,,20.0,,2.0,,,6.0
21,dice2.win,3762.0,99.0,292.0,76.0,65645.0,229.0,18.0,43.0,22.0,2183.0,12.0,1.0,3.0,,43.0,190.0,13.0,11.0,,186.0,,255.0,,,145.0,,18.0,,,46.0
